landmark_id,x,y
139,11.573738,13.728351
140,13.346447,11.441735
141,15.453297,12.815232
142,1.1047473,11.300375
143,11.538132,13.324817
144,16.137236,10.997172
145,12.362338,8.401054
146,19.728142,4.458122
147,8.532077,7.3996234
148,4.9560337,8.326377
149,7.8966007,7.4651284
150,13.713932,3.4277017
151,0.42204168,11.875011
152,-0.003140389,3.7773824
153,14.62013,11.289308
154,19.943718,15.238609
155,4.810637,7.5707483
156,0.11264877,19.397932
157,12.576197,12.507136
158,3.4128745,3.5397224
159,3.1531143,19.889847
160,6.364092,8.702261
161,3.9146945,8.149792
162,9.459912,8.066599
163,15.758744,19.298885
164,7.5629,8.699784
165,19.268612,14.288658
166,10.047558,7.4740877
167,3.7775605,11.948356
168,5.879538,7.3880763
169,4.24654,9.947847
170,16.597435,-0.08986881
171,12.607989,9.47888
172,1.8057755,4.147507
173,18.986004,15.88009
174,14.475126,3.3661468
175,4.0675673,11.860259
176,7.1418653,8.42237
177,20.188004,11.8105135
178,20.273716,12.378138
179,1.031927,18.220945
180,-0.117875524,-0.62751275
181,3.102663,5.174716
182,5.715825,7.5478086
183,12.190267,9.741924
184,4.2051706,7.8952355
185,11.029016,6.4066653
186,15.51286,2.5421417
187,5.5418434,7.1442137
188,16.056892,0.29427052
189,3.2373567,5.86896
190,13.411096,11.215314
191,15.604465,0.5420531
192,16.215294,19.172112
193,12.515057,11.153798
194,2.558027,4.905775
195,4.9477243,19.369455
196,3.9793057,7.143508
197,17.942682,11.432766
198,4.948554,2.895554
199,15.62489,1.6029305
200,0.59290946,14.276495
201,3.9738157,18.94118
202,2.9998896,9.098474
203,5.7819104,6.6442704
204,4.603777,8.889581
205,13.528057,12.09143
206,0.26311213,1.4655193
207,4.1320643,7.6798215
208,19.424908,19.887
209,3.1102095,12.102416
210,8.6012945,16.528286
211,11.219308,12.261247
212,3.9069045,-0.53406787
213,-0.32095134,4.016891
214,5.824068,7.022453
215,15.570155,19.878538
216,5.966538,20.120354
217,12.870609,11.512727
218,3.6243591,5.3308134
219,6.5306625,7.5503397
220,15.820944,4.136181
221,16.484436,3.7808137
222,15.777797,0.34735286
223,19.557625,3.5876179
224,12.900012,4.6915317
225,12.590251,9.753011
226,10.590511,9.350926
227,1.3951209,18.601143
228,3.1370523,9.555153
229,18.814022,12.617719
230,12.61419,15.846458
231,8.37977,19.597897
232,6.751577,8.717229
233,8.912798,8.416452
234,8.36847,19.456558
235,-0.49213246,3.938905
236,12.131315,15.521854
237,12.844927,5.5607
238,20.6118,20.15493
239,12.172713,15.077431
240,9.086911,17.01304
241,16.21628,0.36304456
242,17.467289,0.5409822
243,-0.09741717,4.072193
244,17.168785,11.72569
245,3.6170394,3.6848505
246,16.176205,19.648952
247,6.065353,8.060572
248,0.3755688,-0.0605389
249,20.110762,19.712456
250,4.177079,4.936435
251,3.6521432,4.178464
252,1.0883949,4.0691195
253,15.371391,20.870602
254,16.062256,12.070419
255,12.581246,14.993323
256,16.20938,19.810472
257,15.345457,12.00987
258,17.110786,3.118083
259,17.496178,4.662543
260,12.038525,7.404036
261,19.871042,15.753487
262,0.78498393,18.200052
263,11.801242,4.0121684
264,2.018001,-0.6434964
265,1.2284387,0.77901536
266,13.374533,2.878894
267,4.053127,4.086424
268,12.097117,13.94284
269,16.40782,4.385447
270,4.9515743,7.6983314
271,12.20772,11.611407
272,19.563547,18.110842
273,11.327427,10.988908
274,11.970686,5.2808366
275,8.306115,18.145786
276,3.8187296,11.926348
277,11.935353,7.848123
278,-0.51328856,-0.28699598
279,16.057356,20.01881
280,4.2553616,4.3750916
281,4.299468,0.11405126
282,7.7481055,7.627892
283,4.0927067,7.8616576
284,12.324625,9.092627
285,20.230894,0.07627261
286,3.068259,6.2391853
287,20.526402,17.895626
288,4.1351275,8.216295
289,9.85135,16.1272
290,11.407847,8.143064
291,0.523016,4.418934
292,16.04675,0.3230852
293,20.511429,12.141274
294,10.976241,15.613298
295,10.121292,16.384733
296,12.800336,6.0733523
297,3.9011903,3.6330802
298,3.703624,11.311129
299,12.505432,10.729728
300,17.842073,0.21099283
301,14.298082,3.023956
302,3.675141,6.363474
303,12.287139,4.029982
304,18.934175,0.2523497
305,4.217515,5.270976
306,4.577766,3.9290378
307,17.899956,10.848219
308,4.5941606,18.746073
309,2.7642317,11.764742
310,5.94918,6.935457
311,13.443538,3.4361217
312,14.666712,3.5269053
313,5.5540953,7.6809754
314,9.949945,9.108789
315,4.463844,11.220224
316,3.2000177,20.67712
317,19.650507,13.000997
318,20.346397,-0.08423186
319,10.586797,4.5763993
320,12.625147,7.9719367
321,13.866155,3.0549521
322,0.56915003,1.5693955
323,5.4782853,8.768452
324,10.870096,7.4151287
325,19.180826,13.403693
326,-0.23757692,1.1400678
327,12.031303,13.201518
328,11.825194,8.070465
329,19.302576,12.197179
330,4.530179,10.331078
331,3.0407867,3.9373157
332,15.701546,3.9333375
333,5.0720706,5.427717
334,3.5556405,0.6181785
335,7.233035,7.6469913
336,0.52078587,13.728574
337,4.511186,8.53042
338,4.0046034,12.117884
339,7.4582624,19.334541
340,0.082668334,17.63066
341,12.264184,8.070341
342,4.508315,10.346673
343,18.889736,4.0914593
344,4.06211,7.6892548
345,-0.07402233,2.710767
346,11.302693,7.60709
347,4.0209155,8.237719
348,2.040029,19.22125
349,3.0443099,1.9825964
350,6.3121524,8.126039
351,8.180694,20.201784
352,14.035162,11.439562
353,3.8885736,12.195288
354,12.871475,5.8864694
355,15.979714,4.0183463
356,9.7771015,7.1842756
357,12.429635,7.7747383
358,11.962974,5.924139
359,11.321403,8.31525
360,-1.2267935,16.846733
361,-0.9217221,0.9032853
362,15.819644,12.169914
363,16.084455,0.44155058
364,19.399788,19.705776
365,20.12525,12.76536
366,2.6298504,19.716782
367,11.968573,5.2077003
368,7.849998,7.4972534
369,14.431059,4.857667
370,12.525453,4.220503
371,8.110975,20.187666
372,2.8445559,12.128044
373,18.620785,12.933291
374,20.304295,20.130558
375,8.3396635,15.289316
376,4.379809,-0.12447158
377,19.54363,3.5261827
378,7.5191774,7.814029
379,11.930788,16.040438
380,20.2892,3.1851475
381,-0.42981777,17.153875
382,12.224885,6.2624955
383,5.7890186,7.118301
384,11.769667,7.7263913
385,1.9016589,12.611158
386,5.526711,6.612974
387,4.771534,7.9363284
388,18.482004,19.261593
389,6.2688937,7.369567
390,15.521846,0.33182555
391,19.60127,12.245309
392,16.128008,-0.32260343
393,6.262861,8.41754
394,15.762353,0.7556874
395,14.004308,2.8208144
396,7.410699,8.843784
397,3.8038712,8.325782
398,16.027468,19.855293
399,21.158813,13.774897
400,19.840754,-0.028101856
401,3.855055,7.600616
402,11.518031,14.186737
403,12.135439,12.01425
404,10.880746,9.626279
405,3.017542,4.3890734
406,13.621264,11.308713
407,1.4732221,2.6505902
408,11.114427,11.944282
409,21.029924,17.040146
410,0.73546404,3.085683
411,16.359955,11.708506
412,16.228415,-0.53218883
413,4.6191645,8.263293
414,15.780093,11.2215805
415,6.4592185,8.052823
416,7.8787446,7.5987473
417,12.024831,11.742842
418,3.4477572,9.964863
419,15.7351675,11.53063
420,9.943503,16.774529
421,2.6526158,12.115948
422,-0.4514828,19.21662
423,2.9959345,11.069968
424,8.29823,7.677262
425,13.341906,11.632531
426,0.0892732,0.2905044
427,0.8788051,19.195992
428,19.422993,3.8469946
429,19.98119,14.315311
430,-0.11508763,-0.29631287
431,2.418274,11.362275
432,12.553152,11.088026
433,-0.5790971,-0.14228483
434,20.087893,4.338788
435,0.76607335,12.453639
436,11.032849,9.303863
437,18.868217,11.928722
438,-0.057432484,3.2079043
439,11.517256,7.6403375
440,12.520033,14.953677
441,-0.8784263,-0.39091095
442,0.5259938,15.565751
443,10.904649,15.857227
444,19.825283,-0.30495593
445,0.41603798,-0.008417324
446,17.807892,3.9891624
447,20.543953,-0.08626099
448,10.937907,11.788831
449,9.778424,15.862976
450,17.721704,20.898323
451,0.30751857,2.6229537
452,15.768989,19.982811
453,19.432991,11.734763
454,12.805609,4.2648044
455,12.612426,7.96473
456,4.2877865,10.839324
457,6.639527,6.6409664
458,2.308782,11.556407
459,8.764843,17.148457
460,14.01943,10.655821
461,19.573626,17.338188
462,1.7406567,12.75524
463,0.44798774,11.443704
464,-0.239209,4.1692557
465,7.763504,8.2762375
466,14.419151,11.095667
467,16.486187,4.2423196
468,3.2471633,7.946411
469,19.316105,20.194569
470,17.386053,20.599295
471,-0.62158597,11.695027
472,6.7127976,8.349755
473,7.022321,6.8377204
474,11.434579,2.4785101
475,11.71909,5.0728955
476,12.122255,13.289504
477,0.785939,12.53041
478,12.566294,12.098303
479,19.409676,4.1299605
480,15.603418,4.5986753
481,5.8793554,8.299904
482,7.2897053,8.476576
483,4.149161,0.017932927
484,1.8553617,11.744564
485,14.203495,10.994802
486,5.001233,8.133448
487,10.475168,7.433936
488,2.907766,4.5135183
489,11.337777,15.451714
490,3.625397,3.6598253
491,16.125921,19.84294
492,1.1596985,18.079887
493,11.589817,6.4622846
494,18.39513,20.345913
495,4.427148,-0.0579973
496,19.511963,13.49219
497,10.340617,7.915725
498,18.994328,11.892655
499,12.198218,4.4020853
500,20.568306,12.084591
501,12.818385,7.4743752
502,4.4496074,8.472865
503,11.169295,11.566674
504,13.72802,12.976955
505,0.56619215,16.964598
506,20.050537,16.408203
507,18.796432,12.406987
508,10.852237,8.681686
509,11.611837,16.33637
510,8.327851,18.782194
511,2.2496924,0.79548866
512,12.422102,8.068988
513,-0.32998803,21.191282
514,3.7955723,6.871526
515,7.9274087,15.616113
516,5.8576865,8.452991
517,15.7382965,11.535376
518,16.597837,19.578426
519,13.830065,10.278857
520,3.7173378,6.1800876
521,13.078176,6.96155
522,20.217524,18.7923
523,19.968653,11.262276
524,7.391811,7.525765
525,2.9844935,7.9109144
526,12.775051,16.216171
527,11.729103,9.813828
528,4.1301293,1.0074708
529,11.114075,10.683803
530,10.962841,14.355243
531,5.8531146,8.379095
532,11.547506,15.21773
533,0.86201173,2.5276623
534,19.199102,0.36378953
535,3.9162674,6.3063846
536,12.481889,10.082493
537,4.7602243,7.8443
538,2.2308202,4.8116565
539,17.667969,12.533675
540,11.946748,11.061551
541,15.817274,2.123995
542,-0.2404756,-0.11229458
543,0.101154655,-0.4140151
544,8.146463,16.326384
545,19.811703,17.732798
546,18.503326,4.9820967
547,16.16826,20.272564
548,9.759422,7.386841
549,4.5245695,7.493284
550,15.794962,12.308955
551,19.571745,19.513388
552,3.4235265,11.395119
553,18.670023,0.4372414
554,2.512717,0.36181077
555,4.7373223,8.656346
556,0.15194467,20.076397
557,1.6715798,11.216142
558,7.274811,7.5858006
559,-1.0690747,19.543203
560,12.441248,7.8036184
561,13.131283,11.062013
562,5.664892,8.805416
563,3.2612257,8.944116
564,19.12403,4.28873
